ticker,field,tag,start,end,val,accn,fy,fp,form,filed,retrieved_at,source,rationale
LOGI,revenue,RevenueFromContractWithCustomerExcludingAssessedTax,2023-04-01,2024-03-31,4298467000.0,0001032975-24-000023,2024.0,FY,10-K,2024-05-16,2026-09-06T22:53:56.550707+00:00,https://www.sec.gov/Archives/edgar/data/1032975/000103297524000023/,
LOGI,ebit,OperatingIncomeLoss,2023-04-01,2024-03-31,587336000.0,0001032975-24-000023,2024.0,FY,10-K,2024-05-16,2026-09-06T22:53:56.550707+00:00,https://www.sec.gov/Archives/edgar/data/1032975/000103297524000023/,
LOGI,net_income,NetIncomeLoss,2023-04-01,2024-03-31,612143000.0,0001032975-24-000023,2024.0,FY,10-K,2024-05-16,2026-09-06T22:53:56.550707+00:00,https://www.sec.gov/Archives/edgar/data/1032975/000103297524000023/,
LOGI,depreciation,Depreciation,2023-04-01,2024-03-31,63065000.0,0001032975-24-000023,2024.0,FY,10-K,2024-05-16,2026-09-06T22:53:56.550707+00:00,https://www.sec.gov/Archives/edgar/data/1032975/000103297524000023/,
LOGI,amortization,AmortizationOfIntangibleAssets,2023-04-01,2024-03-31,21681000.0,0001032975-24-000023,2024.0,FY,10-K,2024-05-16,2026-09-06T22:53:56.550707+00:00,https://www.sec.gov/Archives/edgar/data/1032975/000103297524000023/,
LOGI,cash,CashAndCashEquivalentsAtCarryingValue,,2024-03-31,1520842000.0,0001032975-25-000008,2025.0,Q3,10-Q,2025-01-29,2026-09-06T22:53:56.550707+00:00,https://www.sec.gov/Archives/edgar/data/1032975/000103297525000008/,
LOGI,debt,,,,,,,,,,,https://www.sec.gov/Archives/edgar/data/1032975/,FY2024 balance sheet: no financial debt; operating leases excluded
LOGI,shares,CommonStockSharesIssued,,2024-03-31,173106000.0,0001032975-25-000008,2025.0,Q3,10-Q,2025-01-29,2026-09-06T22:53:56.550707+00:00,https://www.sec.gov/Archives/edgar/data/1032975/000103297525000008/,
LOGI,shares,TreasuryStockCommonShares,,2024-03-31,19243000.0,0001032975-25-000008,2025.0,Q3,10-Q,2025-01-29,2026-09-06T22:53:56.550707+00:00,https://www.sec.gov/Archives/edgar/data/1032975/000103297525000008/,
PII,revenue,RevenueFromContractWithCustomerExcludingAssessedTax,2024-01-01,2024-12-31,7175400000.0,0001628280-25-006009,2024.0,FY,10-K,2025-02-18,2026-09-06T22:53:57.389192+00:00,https://www.sec.gov/Archives/edgar/data/931015/000162828025006009/,
PII,ebit,OperatingIncomeLoss,2024-01-01,2024-12-31,290600000.0,0001628280-25-006009,2024.0,FY,10-K,2025-02-18,2026-09-06T22:53:57.389192+00:00,https://www.sec.gov/Archives/edgar/data/931015/000162828025006009/,
PII,net_income,NetIncomeLoss,2024-01-01,2024-12-31,110800000.0,0001628280-25-006009,2024.0,FY,10-K,2025-02-18,2026-09-06T22:53:57.389192+00:00,https://www.sec.gov/Archives/edgar/data/931015/000162828025006009/,
PII,depreciation,Depreciation,2024-01-01,2024-12-31,264400000.0,0001628280-25-006009,2024.0,FY,10-K,2025-02-18,2026-09-06T22:53:57.389192+00:00,https://www.sec.gov/Archives/edgar/data/931015/000162828025006009/,
PII,amortization,AmortizationOfIntangibleAssets,2024-01-01,2024-12-31,21900000.0,0001628280-25-006009,2024.0,FY,10-K,2025-02-18,2026-09-06T22:53:57.389192+00:00,https://www.sec.gov/Archives/edgar/data/931015/000162828025006009/,
PII,cash,CashAndCashEquivalentsAtCarryingValue,,2024-12-31,287800000.0,0001628280-25-006009,2024.0,FY,10-K,2025-02-18,2026-09-06T22:53:57.389192+00:00,https://www.sec.gov/Archives/edgar/data/931015/000162828025006009/,
PII,debt,LongTermDebt,,2024-12-31,2032000000.0,0001628280-25-006009,2024.0,FY,10-K,2025-02-18,2026-09-06T22:53:57.389192+00:00,https://www.sec.gov/Archives/edgar/data/931015/000162828025006009/,
PII,shares,CommonStockSharesOutstanding,,2024-12-31,56100000.0,0001628280-25-006009,2024.0,FY,10-K,2025-02-18,2026-09-06T22:53:57.389192+00:00,https://www.sec.gov/Archives/edgar/data/931015/000162828025006009/,
