field,currency,units,period_end,tag,start,end,val,accn,fy,fp,form,filed,frame,retrieved_at,source,transformation,value,source_fiscal_year
revenue,USD,USD millions,2020-12-26,RevenueFromContractWithCustomerExcludingAssessedTax,2019-12-29,2020-12-26,4186573000.0,0000950170-23-003566,2022.0,FY,10-K,2023-02-22,CY2020,2026-09-06T22:52:34.554469+00:00,https://www.sec.gov/Archives/edgar/data/1121788/000095017023003566/,,,
cogs,USD,USD millions,2020-12-26,CostOfGoodsAndServicesSold,2019-12-29,2020-12-26,1705237000.0,0000950170-23-003566,2022.0,FY,10-K,2023-02-22,CY2020,2026-09-06T22:52:34.554469+00:00,https://www.sec.gov/Archives/edgar/data/1121788/000095017023003566/,,,
gross_profit,USD,USD millions,2020-12-26,GrossProfit,2019-12-29,2020-12-26,2481336000.0,0000950170-23-003566,2022.0,FY,10-K,2023-02-22,CY2020,2026-09-06T22:52:34.554469+00:00,https://www.sec.gov/Archives/edgar/data/1121788/000095017023003566/,,,
ebit,USD,USD millions,2020-12-26,OperatingIncomeLoss,2019-12-29,2020-12-26,1054240000.0,0000950170-23-003566,2022.0,FY,10-K,2023-02-22,CY2020,2026-09-06T22:52:34.554469+00:00,https://www.sec.gov/Archives/edgar/data/1121788/000095017023003566/,,,
sga,USD,USD millions,2020-12-26,SellingGeneralAndAdministrativeExpense,2019-12-29,2020-12-26,623588000.0,0000950170-23-003566,2022.0,FY,10-K,2023-02-22,CY2020,2026-09-06T22:52:34.554469+00:00,https://www.sec.gov/Archives/edgar/data/1121788/000095017023003566/,,,
rd,USD,USD millions,2020-12-26,ResearchAndDevelopmentExpense,2019-12-29,2020-12-26,652342000.0,0000950170-23-003566,2022.0,FY,10-K,2023-02-22,CY2020,2026-09-06T22:52:34.554469+00:00,https://www.sec.gov/Archives/edgar/data/1121788/000095017023003566/,,,
depreciation,USD,USD millions,2020-12-26,Depreciation,2019-12-29,2020-12-26,78121000.0,0000950170-23-003566,2022.0,FY,10-K,2023-02-22,CY2020,2026-09-06T22:52:34.554469+00:00,https://www.sec.gov/Archives/edgar/data/1121788/000095017023003566/,,,
amortization,USD,USD millions,2020-12-26,AmortizationOfIntangibleAssets,2019-12-29,2020-12-26,34797000.0,0000950170-23-003566,2022.0,FY,10-K,2023-02-22,CY2020,2026-09-06T22:52:34.554469+00:00,https://www.sec.gov/Archives/edgar/data/1121788/000095017023003566/,,,
taxes,USD,USD millions,2020-12-26,IncomeTaxExpenseBenefit,2019-12-29,2020-12-26,111086000.0,0000950170-23-003566,2022.0,FY,10-K,2023-02-22,CY2020,2026-09-06T22:52:34.554469+00:00,https://www.sec.gov/Archives/edgar/data/1121788/000095017023003566/,,,
net_income,USD,USD millions,2020-12-26,NetIncomeLoss,2019-12-29,2020-12-26,992324000.0,0000950170-23-003566,2022.0,FY,10-K,2023-02-22,CY2020,2026-09-06T22:52:34.554469+00:00,https://www.sec.gov/Archives/edgar/data/1121788/000095017023003566/,,,
cash,USD,USD millions,2020-12-26,CashAndCashEquivalentsAtCarryingValue,,2020-12-26,1458442000.0,0000950170-22-001303,2021.0,FY,10-K,2022-02-16,CY2020Q4I,2026-09-06T22:52:34.554469+00:00,https://www.sec.gov/Archives/edgar/data/1121788/000095017022001303/,,,
ar,USD,USD millions,2020-12-26,AccountsReceivableNetCurrent,,2020-12-26,849469000.0,0000950170-22-001303,2021.0,FY,10-K,2022-02-16,CY2020Q4I,2026-09-06T22:52:34.554469+00:00,https://www.sec.gov/Archives/edgar/data/1121788/000095017022001303/,,,
inventory,USD,USD millions,2020-12-26,InventoryNet,,2020-12-26,762084000.0,0000950170-22-001303,2021.0,FY,10-K,2022-02-16,CY2020Q4I,2026-09-06T22:52:34.554469+00:00,https://www.sec.gov/Archives/edgar/data/1121788/000095017022001303/,,,
other_current_assets,USD,USD millions,2020-12-26,PrepaidExpenseAndOtherAssetsCurrent,,2020-12-26,191569000.0,0000950170-22-001303,2021.0,FY,10-K,2022-02-16,CY2020Q4I,2026-09-06T22:52:34.554469+00:00,https://www.sec.gov/Archives/edgar/data/1121788/000095017022001303/,,,
ppe,USD,USD millions,2020-12-26,PropertyPlantAndEquipmentNet,,2020-12-26,855539000.0,0000950170-23-003566,2022.0,FY,10-K,2023-02-22,CY2020Q4I,2026-09-06T22:52:34.554469+00:00,https://www.sec.gov/Archives/edgar/data/1121788/000095017023003566/,,,
intangibles,USD,USD millions,2020-12-26,IntangibleAssetsNetIncludingGoodwill,,2020-12-26,828566000.0,0000950170-22-001303,2021.0,FY,10-K,2022-02-16,CY2020Q4I,2026-09-06T22:52:34.554469+00:00,https://www.sec.gov/Archives/edgar/data/1121788/000095017022001303/,Intangibles including goodwill less goodwill,,
goodwill,USD,USD millions,2020-12-26,Goodwill,,2020-12-26,584210000.0,0000950170-23-003566,2022.0,FY,10-K,2023-02-22,CY2020Q4I,2026-09-06T22:52:34.554469+00:00,https://www.sec.gov/Archives/edgar/data/1121788/000095017023003566/,,,
ap,USD,USD millions,2020-12-26,AccountsPayableCurrent,,2020-12-26,258885000.0,0000950170-22-001303,2021.0,FY,10-K,2022-02-16,CY2020Q4I,2026-09-06T22:52:34.554469+00:00,https://www.sec.gov/Archives/edgar/data/1121788/000095017022001303/,,,
accrued,USD,USD millions,2020-12-26,OtherAccruedLiabilitiesCurrent,,2020-12-26,181767000.0,0000950170-22-001303,2021.0,FY,10-K,2022-02-16,CY2020Q4I,2026-09-06T22:52:34.554469+00:00,https://www.sec.gov/Archives/edgar/data/1121788/000095017022001303/,,,
current_liabilities,USD,USD millions,2020-12-26,LiabilitiesCurrent,,2020-12-26,1164217000.0,0000950170-22-001303,2021.0,FY,10-K,2022-02-16,CY2020Q4I,2026-09-06T22:52:34.554469+00:00,https://www.sec.gov/Archives/edgar/data/1121788/000095017022001303/,,,
assets,USD,USD millions,2020-12-26,Assets,,2020-12-26,7031373000.0,0000950170-22-001303,2021.0,FY,10-K,2022-02-16,CY2020Q4I,2026-09-06T22:52:34.554469+00:00,https://www.sec.gov/Archives/edgar/data/1121788/000095017022001303/,,,
equity,USD,USD millions,2020-12-26,StockholdersEquity,,2020-12-26,5516116000.0,0000950170-24-017559,2023.0,FY,10-K,2024-02-21,CY2020Q4I,2026-09-06T22:52:34.554469+00:00,https://www.sec.gov/Archives/edgar/data/1121788/000095017024017559/,,,
investments,USD,USD millions,2020-12-26,AvailableForSaleSecuritiesDebtSecurities,,2020-12-26,1518817000.0,0000950170-22-001303,2021.0,FY,10-K,2022-02-16,CY2020Q4I,2026-09-06T22:52:34.554469+00:00,https://www.sec.gov/Archives/edgar/data/1121788/000095017022001303/,,,
cfo,USD,USD millions,2020-12-26,NetCashProvidedByUsedInOperatingActivities,2019-12-29,2020-12-26,1135267000.0,0000950170-23-003566,2022.0,FY,10-K,2023-02-22,CY2020,2026-09-06T22:52:34.554469+00:00,https://www.sec.gov/Archives/edgar/data/1121788/000095017023003566/,,,
capex,USD,USD millions,2020-12-26,PaymentsToAcquirePropertyPlantAndEquipment,2019-12-29,2020-12-26,185401000.0,0000950170-23-003566,2022.0,FY,10-K,2023-02-22,CY2020,2026-09-06T22:52:34.554469+00:00,https://www.sec.gov/Archives/edgar/data/1121788/000095017023003566/,,,
cfi,USD,USD millions,2020-12-26,NetCashProvidedByUsedInInvestingActivities,2019-12-29,2020-12-26,-260524000.0,0000950170-23-003566,2022.0,FY,10-K,2023-02-22,CY2020,2026-09-06T22:52:34.554469+00:00,https://www.sec.gov/Archives/edgar/data/1121788/000095017023003566/,,,
cff,USD,USD millions,2020-12-26,NetCashProvidedByUsedInFinancingActivities,2019-12-29,2020-12-26,-461760000.0,0000950170-23-003566,2022.0,FY,10-K,2023-02-22,CY2020,2026-09-06T22:52:34.554469+00:00,https://www.sec.gov/Archives/edgar/data/1121788/000095017023003566/,,,
dividends,USD,USD millions,2020-12-26,PaymentsOfDividends,2019-12-29,2020-12-26,450631000.0,0000950170-23-003566,2022.0,FY,10-K,2023-02-22,CY2020,2026-09-06T22:52:34.554469+00:00,https://www.sec.gov/Archives/edgar/data/1121788/000095017023003566/,,,
employee_share_withholding,USD,USD millions,2020-12-26,TreasuryStockValueAcquiredCostMethod,2019-12-29,2020-12-26,26330000.0,0000950170-23-003566,2022.0,FY,10-K,2023-02-22,CY2020,2026-09-06T22:52:34.554469+00:00,https://www.sec.gov/Archives/edgar/data/1121788/000095017023003566/,,,
sbc,USD,USD millions,2020-12-26,ShareBasedCompensation,2019-12-29,2020-12-26,80885000.0,0000950170-23-003566,2022.0,FY,10-K,2023-02-22,CY2020,2026-09-06T22:52:34.554469+00:00,https://www.sec.gov/Archives/edgar/data/1121788/000095017023003566/,,,
restricted_cash_total,USD,USD millions,2020-12-26,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,,2020-12-26,1458748000.0,0000950170-24-017559,2023.0,FY,10-K,2024-02-21,CY2020Q4I,2026-09-06T22:52:34.554469+00:00,https://www.sec.gov/Archives/edgar/data/1121788/000095017024017559/,,,
cash_change,USD,USD millions,2020-12-26,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect,2019-12-29,2020-12-26,431110000.0,0000950170-23-003566,2022.0,FY,10-K,2023-02-22,CY2020,2026-09-06T22:52:34.554469+00:00,https://www.sec.gov/Archives/edgar/data/1121788/000095017023003566/,,,
fx_cash,USD,USD millions,2020-12-26,EffectOfExchangeRateOnCashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsIncludingDisposalGroupAndDiscontinuedOperations,2019-12-29,2020-12-26,18127000.0,0000950170-23-003566,2022.0,FY,10-K,2023-02-22,CY2020,2026-09-06T22:52:34.554469+00:00,https://www.sec.gov/Archives/edgar/data/1121788/000095017023003566/,,,
acquisitions,USD,USD millions,2020-12-26,grmn:CashPaidForAcquisitionsNetOfCashAcquired,,,,,,,,2023-02-22,,2026-09-06T23:21:43.655636+00:00,https://www.sec.gov/Archives/edgar/data/1121788/000095017023003566/grmn-20221231.htm,,148.648,2022.0
repurchase_plan,USD,USD millions,2020-12-26,Disclosed dash in consolidated cash-flow table,,,,,,,,2023-02-22,,2026-09-06T23:21:43.655636+00:00,https://www.sec.gov/Archives/edgar/data/1121788/000095017023003566/grmn-20221231.htm,,0.0,2022.0
revenue,USD,USD millions,2021-12-25,RevenueFromContractWithCustomerExcludingAssessedTax,2020-12-27,2021-12-25,4982795000.0,0000950170-24-017559,2023.0,FY,10-K,2024-02-21,CY2021,2026-09-06T22:52:34.554469+00:00,https://www.sec.gov/Archives/edgar/data/1121788/000095017024017559/,,,
cogs,USD,USD millions,2021-12-25,CostOfGoodsAndServicesSold,2020-12-27,2021-12-25,2092336000.0,0000950170-24-017559,2023.0,FY,10-K,2024-02-21,CY2021,2026-09-06T22:52:34.554469+00:00,https://www.sec.gov/Archives/edgar/data/1121788/000095017024017559/,,,
gross_profit,USD,USD millions,2021-12-25,GrossProfit,2020-12-27,2021-12-25,2890459000.0,0000950170-24-017559,2023.0,FY,10-K,2024-02-21,CY2021,2026-09-06T22:52:34.554469+00:00,https://www.sec.gov/Archives/edgar/data/1121788/000095017024017559/,,,
ebit,USD,USD millions,2021-12-25,OperatingIncomeLoss,2020-12-27,2021-12-25,1218620000.0,0000950170-24-017559,2023.0,FY,10-K,2024-02-21,CY2021,2026-09-06T22:52:34.554469+00:00,https://www.sec.gov/Archives/edgar/data/1121788/000095017024017559/,,,
sga,USD,USD millions,2021-12-25,SellingGeneralAndAdministrativeExpense,2020-12-27,2021-12-25,721260000.0,0000950170-24-017559,2023.0,FY,10-K,2024-02-21,CY2021,2026-09-06T22:52:34.554469+00:00,https://www.sec.gov/Archives/edgar/data/1121788/000095017024017559/,,,
rd,USD,USD millions,2021-12-25,ResearchAndDevelopmentExpense,2020-12-27,2021-12-25,778750000.0,0000950170-24-017559,2023.0,FY,10-K,2024-02-21,CY2021,2026-09-06T22:52:34.554469+00:00,https://www.sec.gov/Archives/edgar/data/1121788/000095017024017559/,,,
depreciation,USD,USD millions,2021-12-25,Depreciation,2020-12-27,2021-12-25,103498000.0,0000950170-24-017559,2023.0,FY,10-K,2024-02-21,CY2021,2026-09-06T22:52:34.554469+00:00,https://www.sec.gov/Archives/edgar/data/1121788/000095017024017559/,,,
amortization,USD,USD millions,2021-12-25,AmortizationOfIntangibleAssets,2020-12-27,2021-12-25,35540000.0,0000950170-24-017559,2023.0,FY,10-K,2024-02-21,CY2021,2026-09-06T22:52:34.554469+00:00,https://www.sec.gov/Archives/edgar/data/1121788/000095017024017559/,,,
taxes,USD,USD millions,2021-12-25,IncomeTaxExpenseBenefit,2020-12-27,2021-12-25,124596000.0,0000950170-24-017559,2023.0,FY,10-K,2024-02-21,CY2021,2026-09-06T22:52:34.554469+00:00,https://www.sec.gov/Archives/edgar/data/1121788/000095017024017559/,,,
net_income,USD,USD millions,2021-12-25,NetIncomeLoss,2020-12-27,2021-12-25,1082200000.0,0000950170-24-017559,2023.0,FY,10-K,2024-02-21,,2026-09-06T22:52:34.554469+00:00,https://www.sec.gov/Archives/edgar/data/1121788/000095017024017559/,,,
cash,USD,USD millions,2021-12-25,CashAndCashEquivalentsAtCarryingValue,,2021-12-25,1498058000.0,0000950170-23-003566,2022.0,FY,10-K,2023-02-22,CY2021Q4I,2026-09-06T22:52:34.554469+00:00,https://www.sec.gov/Archives/edgar/data/1121788/000095017023003566/,,,
ar,USD,USD millions,2021-12-25,AccountsReceivableNetCurrent,,2021-12-25,843445000.0,0000950170-23-003566,2022.0,FY,10-K,2023-02-22,CY2021Q4I,2026-09-06T22:52:34.554469+00:00,https://www.sec.gov/Archives/edgar/data/1121788/000095017023003566/,,,
inventory,USD,USD millions,2021-12-25,InventoryNet,,2021-12-25,1227609000.0,0000950170-23-003566,2022.0,FY,10-K,2023-02-22,CY2021Q4I,2026-09-06T22:52:34.554469+00:00,https://www.sec.gov/Archives/edgar/data/1121788/000095017023003566/,,,
other_current_assets,USD,USD millions,2021-12-25,PrepaidExpenseAndOtherAssetsCurrent,,2021-12-25,328719000.0,0000950170-23-003566,2022.0,FY,10-K,2023-02-22,CY2021Q4I,2026-09-06T22:52:34.554469+00:00,https://www.sec.gov/Archives/edgar/data/1121788/000095017023003566/,,,
ppe,USD,USD millions,2021-12-25,PropertyPlantAndEquipmentNet,,2021-12-25,1067478000.0,0000950170-24-017559,2023.0,FY,10-K,2024-02-21,CY2021Q4I,2026-09-06T22:52:34.554469+00:00,https://www.sec.gov/Archives/edgar/data/1121788/000095017024017559/,,,
intangibles,USD,USD millions,2021-12-25,OtherIntangibleAssetsNet,,2021-12-25,215993000.0,0000950170-23-003566,2022.0,FY,10-K,2023-02-22,CY2021Q4I,2026-09-06T22:52:34.554469+00:00,https://www.sec.gov/Archives/edgar/data/1121788/000095017023003566/,,,
goodwill,USD,USD millions,2021-12-25,Goodwill,,2021-12-25,575080000.0,0000950170-24-017559,2023.0,FY,10-K,2024-02-21,CY2021Q4I,2026-09-06T22:52:34.554469+00:00,https://www.sec.gov/Archives/edgar/data/1121788/000095017024017559/,,,
